"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2150,2040,1975,2050,1950,2200,1995,1962.5,1962.5,1862.5,1775,1695,1800,1995,2225,2350,2300,2200,2200,2200,2200,2200,2200,1995,2175,2150,2300,2500,2250,2200,2095,2100,2197.5,2200,2100,2195,2200,2300,2450,2500,2400,2200,2375,2300,2275,2150,2100,2200,2250,2350,2350,2550,2487.5,2375,2300,2350,2300,2195,2195,2100,2250,2300,2300,2350,2200,2200,2200,2350,2225,2200,2310,2425,2472.5,2395,2450,2400,2470,2300,2250,2200
"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2595,2595,2750,2750,2750,2775,2925,2972.5,2999.5,2995,2950,2897.5,2800,2875,2797.5,2700,2872.5,2825,2947.5,2800,2897.5,3150,3000,2950,2835,2750,2795,3049.5,3100,3275,2995,2850,2795,2800,2950,2982.5
"Bridgeport","CT","Bridgeport-Stamford-Norwalk","Fairfield County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1600,1550,1750,1625,1625,1600,1600,1600,1700,1800,1650
"Bellevue","WA","Seattle-Tacoma-Bellevue","King County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695,3500,3575,3697.5,3800,3625,3722.5,3765,3600,3495,3600,4150,3995,3950,3800,3600,3750,3650,3500
"New Haven","CT","New Haven-Milford","New Haven County",41,,,,,,1150,1162.5,1150,1195,1222.5,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1200,1125,1150,1150,1150,1150,1200,1162.5,1100,1162.5,1175,1200,1200,1125,1100,1100,1195,1150,1150,1197.5,1112.5,1190,1250,1200,1200,1200,1200,1162.5,1197.5,1200,1200,1200,1287.5,1262.5,1250,1312.5,1200,1200,1250,1250,1200,1200,1285,1325,1200,1325,1275,1250,1200,1287.5,1200,1260,1200,1262.5,1450,1525,1475,1372.5,1300,1300,1340,1387.5,1375,1350,1397.5,1500,1525,1537.5,1550,1600,1550,1550,1450,1350,1337.5,1375,1300,1300,1400,1400,1400,1450,1500,1550,1550,1550,1500
"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2325,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425,2499,2499.5,2472.5,2585,2695,2600,2495,2500,2495,2495,2497.5,2495,2495,2500,2600,2547.5,2550,2550,2525,2500,2500
"Temecula","CA","Riverside-San Bernardino-Ontario","Riverside County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2675,2600,2600,2595,2672.5,2747.5,2700,2725,2800,2797.5,2695,2600,2695,2772.5,2745,2750,2650,2700,2800,2650,2825,2850,2800,2850,2850,2912.5,2800,2765,2800,2800,2800,2800,2900
"Tracy","CA","Stockton-Lodi","San Joaquin County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,2600,2600,2700,2650,2672.5,2700,2725,2675,2600,2600,2772.5,2700,2695,2695,2795,2765,2710,2750,2600,2649.5,2600,2555
"Waterbury","CT","New Haven-Milford","New Haven County",45,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,787.5,775,800,775,762.5,795,795,750,775,795,800,800,800,800,825,800,800,825,800,800,812.5,800,800,800,825,800,800,800,825,825,825,825,850,850,825,825,850,862.5,850,825,850,850,850,850,850,825,825,800,812.5,800,825,825,825,825,825,825,850,837.5,825,850,850,850,850,850,825,825,825,850,850,850,850,850,850,850,850,850,850,855,887.5,900,850,850,862.5,850,850,899,899.5,900,925,900
"Newton","MA","Boston-Cambridge-Newton","Middlesex County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4500,4500,4500,4500,4400,4500,4300,4200,3500,3999,4500,4500,4500,5000,4975,5000,5300,5500,5000,5000,5000,4900,4900,4750,5000
