address,price,details
2380+Chestnut+Ave,"$1,795+ ",2 bds 
169+E+67th+St,"$1,399+ ",1 bd
3654+Linden+Ave+APT+11,"$1,595/m",1 bd1 ba -- sqft
241+E+South+St,"$1,650+ ",2 bds 
635+Elm+Ave+APT+5,"$1,250/m",Studio1 ba 450 sqft
442+W+4th+St,"$1,650+ ",1 bd
445+W+15th+Street+|+445+W+15th+St,"$1,260+ ",Studio
445+W+9th+St,"$1,425+ ",1 bd
452+W+10th+St,"$1,425/m",1 bd1 ba -- sqft
619+Elm+Ave,"$1,295/m",Studio1 ba 350 sqft
4615+E+Broadway+APT+3,"$1,750/m",1 bd1 ba 750 sqft
73+Alamitos+Ave+APT+11,"$1,250/m",Studio1 ba -- sqft
2203+E+Bermuda+St,"$1,995/m",2 bds 1.5 ba -- sqft
Queensview+Condominiums+|+1140+E+Ocean+Blvd,"$1,895+ ",1 bd
359+Obispo+Ave+APT+10,"$1,595/m",1 bd1 ba -- sqft
3249+E+15th+St+APT+6,"$1,895/m",2 bds 2 ba -- sqft
3405+Linden+Ave,"$2,250/m","3 bds 2 ba 1,300 sqft"
1762+E+3rd+St+APT+14,"$1,295/m",Studio1 ba -- sqft
1393+Newport+Ave+APT+9,"$1,995/m",2 bds 2 ba -- sqft
1362+Temple+Ave+APT+209,"$1,895/m",2 bds 2 ba -- sqft
502+Orange+Ave+APT+15,"$1,325/m",1 bd1 ba 575 sqft
945+Chestnut+Ave,"$1,495+ ",2 bds 
1431+Elm+Ave+APT+6,"$1,395/m",1 bd1 ba 695 sqft
628+E+53rd+Street+|+628+E+53rd+St,"$1,695+ ",2 bds 
1053+Euclid+Ave+APT+D,"$1,595/m",1 bd1 ba -- sqft
1520+Freeman+Ave,"$1,750/m",2 bds 1 ba 850 sqft
255+Bonito+Ave+APT+K,"$1,295/m",Studio1 ba -- sqft
634+Lime+Ave,"$1,395+ ",1 bd
904+Atlantic+Ave,"$1,290/m",Studio1 ba 310 sqft
933+E+23rd+St,"$1,999+ ",3 bds 
936+Olive+Avenue+|+936+Olive+Ave,"$1,250+ ",Studio
1071+Ohio+Ave,"$1,375+ ",1 bd
233+Mira+Mar+Ave+#+100A,"$2,995/m","2 bds 2 ba 1,320 sqft"
1275+E+Broadway,"$2,200+ ",1 bd
322+Daisy+Ave+APT+02,"$1,295/m",Studio1 ba -- sqft
