address,price,details
2717+Radnor+Ave,"Est. $669,350","3 bds 2 ba 1,276 sqft"
6475+Atlantic+Ave+SPC+344,"$80,000",4 bds 1 ba -- sqft
395+E+4th+St+UNIT+6,"$479,000","1 bd1 ba 1,020 sqft"
1310+E+Ocean+Blvd+UNIT+705,"$685,000",1 bd1 ba 990 sqft
5585+E+Pacific+Coast+Hwy+UNIT+218,"$285,000",1 bd1 ba 597 sqft
488+E+Ocean+Blvd+UNIT+610,"$610,000",2 bds 2 ba 990 sqft
3939+E+Allin+St+UNIT+205,"$425,900",1 bd1 ba 740 sqft
3939+Walnut+Ave,"$829,451","2 bds 3 ba 1,912 sqft"
2211+Conquista+Ave,$--,"3 bds 1 ba 1,055 sqft"
6257+E+Emerald+Cove+Dr,"$129,900","2 bds 2 ba 1,200 sqft"
3295+Adriatic+Ave,"$825,000","7 bds 5 ba 3,171 sqft"
835+Locust+Ave+UNIT+111,"$480,000",1 bd1 ba 791 sqft
6665+Long+Beach+Blvd+SPC+B19,"$60,000",2 bds 1 ba 672 sqft
6475+Atlantic+Ave+SPC+715,"$69,000",2 bds 1 ba 800 sqft
42+62nd+Pl,"$1,250,000","4 bds 3 ba 2,980 sqft"
646+Coronado+Ave+APT+B,"$597,600","3 bds 2 ba 1,200 sqft"
300+Manila+Ave,"$1,209,000","3 bds 4 ba 2,948 sqft"
2331+Snowden+Ave,"$599,000","2 bds 2 ba 1,260 sqft"
1487+Henderson+Ave,"$1,025,000","10 bds 4 ba 3,520 sqft"
380+Wisconsin+Ave,"$875,000","3 bds 2 ba 1,739 sqft"
455+E+Ocean+Blvd+APT+605,"$310,000",1 bd1 ba 421 sqft
18+E+56th+St,"$1,075,000","13 bds 5 ba 2,342 sqft"
3707+Country+Club+Dr+UNIT+3,"$428,000",2 bds 2 ba 956 sqft
5272+Pine+Ave,"$385,000",1 bd1 ba 607 sqft
1750+E+Ocean+Blvd+UNIT+1605,"$920,000","2 bds 2 ba 1,116 sqft"
