,address,price,details,zipcode,latitude,longitude,zpid,link
78,955 E 3rd St UNIT 310,"$449,000","2 bds 2 ba 1,045 sqft",90802,33.770992,-118.180628,50878742,https://www.zillow.com/homedetails/955-E-3rd-St-UNIT-310-Long-Beach-CA-90802/50878742_zpid/
79,1371 Grand Ave,"$600,000","3 bds 2 ba 1,424 sqft",90804,33.784437,-118.148367,21221636,https://www.zillow.com/homedetails/1371-Grand-Ave-Long-Beach-CA-90804/21221636_zpid/
80,150 The Promenade N UNIT 417,"$420,000",1 bd1 ba 750 sqft,90802,33.768911,-118.190759,82582681,https://www.zillow.com/homedetails/150-The-Promenade-N-UNIT-417-Long-Beach-CA-90802/82582681_zpid/
81,2295 Olive Ave,"$440,000",2 bds 1 ba 660 sqft,90806,33.798798,-118.183037,21197563,https://www.zillow.com/homedetails/2295-Olive-Ave-Long-Beach-CA-90806/21197563_zpid/
82,3529 E Broadway # 8,"$475,000",2 bds 2 ba 880 sqft,90803,33.764733,-118.150627,82235564,https://www.zillow.com/homedetails/3529-E-Broadway-8-Long-Beach-CA-90803/82235564_zpid/
83,3358 Elm Ave UNIT 22,"$229,477",2 bds 2 ba 977 sqft,90807,33.818362,-118.187729,2083605694,https://www.zillow.com/homedetails/3358-Elm-Ave-UNIT-22-Long-Beach-CA-90807/2083605694_zpid/
84,6815 E Pageantry St,"$819,000","3 bds 2 ba 1,328 sqft",90808,33.81345,-118.101153,21141281,https://www.zillow.com/homedetails/6815-E-Pageantry-St-Long-Beach-CA-90808/21141281_zpid/
85,3810 E 1st St,"$925,000","3 bds 1 ba 1,308 sqft",90803,33.761195,-118.147731,21223875,https://www.zillow.com/homedetails/3810-E-1st-St-Long-Beach-CA-90803/21223875_zpid/
86,4619 Sunfield Ave,"$985,000","5 bds 4 ba 2,242 sqft",90808,33.841896,-118.135282,21184351,https://www.zillow.com/homedetails/4619-Sunfield-Ave-Long-Beach-CA-90808/21184351_zpid/
87,311 E Eleanor Ln,"$519,900","3 bds 2 ba 1,085 sqft",90805,33.878325,-118.196436,21242659,https://www.zillow.com/homedetails/311-E-Eleanor-Ln-Long-Beach-CA-90805/21242659_zpid/
88,6432 E Wardlow Rd,"$680,000","3 bds 1 ba 1,243 sqft",90808,33.818543,-118.106604,21140811,https://www.zillow.com/homedetails/6432-E-Wardlow-Rd-Long-Beach-CA-90808/21140811_zpid/
89,3438 Woodruff Ave,"$629,900","3 bds 2 ba 1,386 sqft",90808,33.820022,-118.116045,21188044,https://www.zillow.com/homedetails/3438-Woodruff-Ave-Long-Beach-CA-90808/21188044_zpid/
90,710 E Sunrise Blvd,"$999,000","3 bds 4 ba 3,177 sqft",90806,33.802168,-118.183781,21197396,https://www.zillow.com/homedetails/710-E-Sunrise-Blvd-Long-Beach-CA-90806/21197396_zpid/
91,1485 Obispo Ave APT 6,"$300,000",2 bds 1 ba 850 sqft,90804,33.785966,-118.15489,82868383,https://www.zillow.com/homedetails/1485-Obispo-Ave-APT-6-Long-Beach-CA-90804/82868383_zpid/
92,3450 N El Dorado Dr,"$845,000","3 bds 2 ba 1,710 sqft",90808,33.81956,-118.073018,21138329,https://www.zillow.com/homedetails/3450-N-El-Dorado-Dr-Long-Beach-CA-90808/21138329_zpid/
93,2237 N Bellflower Blvd,"$699,000","3 bds 1 ba 1,100 sqft",90815,33.797572,-118.125789,21202938,https://www.zillow.com/homedetails/2237-N-Bellflower-Blvd-Long-Beach-CA-90815/21202938_zpid/
94,5845 Rose Ave,"$515,000","3 bds 1 ba 1,024 sqft",90805,33.861045,-118.170834,21150544,https://www.zillow.com/homedetails/5845-Rose-Ave-Long-Beach-CA-90805/21150544_zpid/
95,800 Pacific Ave APT 205,"$249,900",1 bd1 ba 672 sqft,90813,33.776865,-118.193403,21236894,https://www.zillow.com/homedetails/800-Pacific-Ave-APT-205-Long-Beach-CA-90813/21236894_zpid/
96,1770 Ximeno Ave APT 306,"$380,000","2 bds 2 ba 1,076 sqft",90815,33.789667,-118.138221,21201039,https://www.zillow.com/homedetails/1770-Ximeno-Ave-APT-306-Long-Beach-CA-90815/21201039_zpid/
97,1091 Lewis Ave,"$748,000","4 bds 2 ba 1,400 sqft",90813,33.780631,-118.179793,21237159,https://www.zillow.com/homedetails/1091-Lewis-Ave-Long-Beach-CA-90813/21237159_zpid/
98,2999 E Ocean Blvd UNIT 1830,"$1,018,888","3 bds 2 ba 1,510 sqft",90803,33.762564,-118.158168,21230402,https://www.zillow.com/homedetails/2999-E-Ocean-Blvd-UNIT-1830-Long-Beach-CA-90803/21230402_zpid/
99,3565 N Weston Pl,"$689,000","3 bds 2 ba 1,340 sqft",90807,33.821454,-118.191838,21162086,https://www.zillow.com/homedetails/3565-N-Weston-Pl-Long-Beach-CA-90807/21162086_zpid/
